# EDGAR v4?,,,,
# UNITS: Gg/yr,,,,
year,box_0,box_1,box_2,box_3
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0.0321,0.002,0.0001,0.0005
1993,0.155,0.0099,0.0007,0.0026
1994,0.4561,0.0294,0.0021,0.0078
1995,1.0199,0.0653,0.0047,0.0176
1996,1.7919,0.1163,0.0087,0.0313
1997,2.7785,0.1828,0.014,0.0488
1998,4.1949,0.296,0.0222,0.074
1999,6.0348,0.4279,0.032,0.1072
2000,8.2864,0.5962,0.0466,0.1451
2001,10.8513,0.7863,0.0736,0.193
2002,13.3375,0.973,0.1069,0.2394
2003,15.8069,1.1858,0.1455,0.2799
2004,18.453,1.4008,0.1953,0.3249
2005,21.1502,1.6216,0.2516,0.3712
2006,24.0093,1.8364,0.2815,0.4236
2007,26.6588,2.0736,0.3254,0.4684
2008,29.2525,2.2799,0.3658,0.5143
2009,29.2525,2.2799,0.3658,0.5143
2010,29.2525,2.2799,0.3658,0.5143
2011,29.2525,2.2799,0.3658,0.5143
2012,29.2525,2.2799,0.3658,0.5143
2013,29.2525,2.2799,0.3658,0.5143
2014,29.2525,2.2799,0.3658,0.5143
2015,29.2525,2.2799,0.3658,0.5143
2016,29.2525,2.2799,0.3658,0.5143
2017,29.2525,2.2799,0.3658,0.5143
2018,29.2525,2.2799,0.3658,0.5143
2019,29.2525,2.2799,0.3658,0.5143
2020,29.2525,2.2799,0.3658,0.5143
2021,29.2525,2.2799,0.3658,0.5143
2022,29.2525,2.2799,0.3658,0.5143
2023,29.2525,2.2799,0.3658,0.5143
2024,29.2525,2.2799,0.3658,0.5143
2025,29.2525,2.2799,0.3658,0.5143
2026,29.2525,2.2799,0.3658,0.5143
2027,29.2525,2.2799,0.3658,0.5143
2028,29.2525,2.2799,0.3658,0.5143
