# Global warming potential (100 years),
# From WMO 2022 apart from entries after SO2F2 which are from literature. GWP for CH4 is non-fossil only,
Species,GWP
HFC-134,1330
HFC-134a,1470
HFC-143,365
HFC-143a,5900
HFC-152,22
HFC-152a,153
HFC-161,5
HFC-227ca,3180
HFC-227ea,3580
HFC-236ca,1520
HFC-236cb,1360
HFC-236ea,1330
HFC-236fa,9120
HFC-245ca,874
HFC-245cb,4510
HFC-245ea,279
HFC-245eb,342
HFC-245fa,966
HFC-254ca,218
HFC-254cb,1270
HFC-254ea,187
HFC-254eb,233
HFC-254fa,538
HFC-254fb,117
HFC-263ca,344
HFC-263ea,24
HFC-263eb,84
HFC-263fa,86
HFC-263fb,76
HFC-272ca,651
HFC-272ea,17
HFC-272fa,6
HFC-272fb,41
HFC-281fa,2
HFC-329p,2960
HFC-329me,4240
HFC-338q,1300
HFC-338mce,926
HFC-338mec,1260
HFC-338pcc,1460
HFC-338mf,7720
HFC-338mee,1320
HFC-347mcc,3060
HFC-347mce,279
HFC-347mec,406
HFC-347pcc,907
HFC-347mcf,1010
HFC-347mee,549
HFC-347pce,671
HFC-347mfc,1640
HFC-347mef,1010
HFC-356mce,177
HFC-356mec,1400
HFC-356pcc,1140
HFC-356mcf,102
HFC-356mee,195
HFC-356pce,251
HFC-356mfc,486
HFC-356pec,257
HFC-356mef,288
HFC-356mfe,323
HFC-356pcf,591
HFC-356pee,317
HFC-356mff,1030
HFC-356qcc,669
HFC-365mcf,138
HFC-365mee,86
HFC-365pce,394
HFC-365pec,512
HFC-365qcc,1010
HFC-365mfc,969
HFC-365mef,89
HFC-365pcf,102
HFC-365mfe,62
HFC-365qee,153
HFC-365pfc,306
HFC-365qce,151
HFC-365mff,368
HFC-365pef,203
HFC-374mef,44
HFC-374mfe,32
HFC-374mff,8
HFC-374pcf,53
HFC-374pee,57
HFC-374pef,60
HFC-374pfc,272
HFC-374pfe,47
HFC-374qce,110
HFC-374qec,175
HFC-374qcf,72
HFC-374qee,70
HFC-374scc,1930
HFC-374pff,118
HFC-383m,7
HFC-383pe,25
HFC-383pfe,25
HFC-383pff,12
HFC-383qcf,77
HFC-383qee,14
HFC-383qef,20
HFC-383qfc,69
HFC-383sce,82
HFC-392pff,4
HFC-392qef,7
HFC-392qfe,9
HFC-392qff,2
HFC-392scf,44
HFC-392see,9
HFC-4310mee,1610
CH3CCl3,164
CCl4,2150
CH3Cl,6
CH2Cl2,11
CHCl3,20
CH3CHCl2,4
CH2ClCHCl2,2
CH2ClCCl3,128
CHCl2CHCl2,9
CH3Br,2
CH2Br2,1
H-1201,375
H-1202,215
H-1211,1990
H-1301,7430
H-2301,160
H-2311,45
H-2401,197
H-2402,2260
NF3,17700
SF6,24700
CF4,7490
C2F6,12600
C3F6,32300
C3F8,9500
C4F6,126
C4F8,10600
C4F10,10200
C5F8,84
C5F12,9390
C6F14,8810
C7F16,8610
C8F18,8470
C10F18,7620
COS,30
SO2F2,4390
