# AGAGE data for HFC-227ea
# Created by lw13938 on 2024-05-29 14:28:33.876163
# Contact AGAGE data owners before use 
# This file contains data from the following sites/instruments: 
#===================================================
# MHD 
#   1. Medusa
#------------------
# THD 
#   1. Medusa
#   2. Archive
#  Instruments combined in above order of preference
#------------------
# RPB 
#   1. Medusa
#------------------
# SMO 
#   1. Medusa
#------------------
# CGO 
#   1. Medusa
#   2. Archive
#  Instruments combined in above order of preference
#------------------
# SCALE: SIO-14
# UNITS: ppt
var,mf,mf,mf,mf,mf_variability,mf_variability,mf_variability,mf_variability,sites,sites,sites,sites,instruments,instruments,instruments,instruments
box,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
1981-05-01,,,,,,,,,,,,,|,,,
1981-06-01,,,,,,,,,,,,,|,,,
1981-07-01,,,,,,,,,,,,,|,,,
1981-08-01,,,,,,,,,,,,,|,,,
1981-09-01,,,,,,,,,,,,,|,,,
1981-10-01,,,,,,,,,,,,,|,,,
1981-11-01,,,,,,,,,,,,,|,,,
1981-12-01,,,,,,,,,,,,,|,,,
1982-01-01,,,,,,,,,,,,,|,,,
1982-02-01,,,,,,,,,,,,,|,,,
1982-03-01,0.0,,,,0.010960155108391486,,,,THD,,,,|Archive,,,
1982-04-01,,,,,,,,,,,,,|,,,
1982-05-01,0.0,,,,0.010960155108391486,,,,THD,,,,|Archive,,,
1982-06-01,,,,,,,,,,,,,|,,,
1982-07-01,,,,,,,,,,,,,|,,,
1982-08-01,,,,,,,,,,,,,|,,,
1982-09-01,,,,,,,,,,,,,|,,,
1982-10-01,,,,,,,,,,,,,|,,,
1982-11-01,,,,,,,,,,,,,|,,,
1982-12-01,,,,,,,,,,,,,|,,,
1983-01-01,,,,,,,,,,,,,|,,,
1983-02-01,,,,,,,,,,,,,|,,,
1983-03-01,,,,,,,,,,,,,|,,,
1983-04-01,,,,,,,,,,,,,|,,,
1983-05-01,,,,,,,,,,,,,|,,,
1983-06-01,,,,,,,,,,,,,|,,,
1983-07-01,,,,,,,,,,,,,|,,,
1983-08-01,,,,,,,,,,,,,|,,,
1983-09-01,,,,,,,,,,,,,|,,,
1983-10-01,,,,,,,,,,,,,|,,,
1983-11-01,,,,,,,,,,,,,|,,,
1983-12-01,,,,,,,,,,,,,|,,,
1984-01-01,,,,,,,,,,,,,|,,,
1984-02-01,,,,,,,,,,,,,|,,,
1984-03-01,,,,,,,,,,,,,|,,,
1984-04-01,,,,,,,,,,,,,|,,,
1984-05-01,,,,0.0213,,,,0.006629727294542363,,,,CGO,|,,,Archive
1984-06-01,,,,,,,,,,,,,|,,,
1984-07-01,,,,,,,,,,,,,|,,,
1984-08-01,,,,,,,,,,,,,|,,,
1984-09-01,,,,,,,,,,,,,|,,,
1984-10-01,,,,,,,,,,,,,|,,,
1984-11-01,,,,,,,,,,,,,|,,,
1984-12-01,,,,,,,,,,,,,|,,,
1985-01-01,,,,,,,,,,,,,|,,,
1985-02-01,,,,,,,,,,,,,|,,,
1985-03-01,,,,,,,,,,,,,|,,,
1985-04-01,,,,,,,,,,,,,|,,,
1985-05-01,,,,,,,,,,,,,|,,,
1985-06-01,,,,,,,,,,,,,|,,,
1985-07-01,,,,,,,,,,,,,|,,,
1985-08-01,,,,,,,,,,,,,|,,,
1985-09-01,,,,,,,,,,,,,|,,,
1985-10-01,,,,,,,,,,,,,|,,,
1985-11-01,,,,,,,,,,,,,|,,,
1985-12-01,,,,,,,,,,,,,|,,,
1986-01-01,0.0135,,,,0.0039033447195962593,,,,THD,,,,|Archive,,,
1986-02-01,,,,,,,,,,,,,|,,,
1986-03-01,,,,,,,,,,,,,|,,,
1986-04-01,,,,,,,,,,,,,|,,,
1986-05-01,,,,,,,,,,,,,|,,,
1986-06-01,,,,,,,,,,,,,|,,,
1986-07-01,,,,,,,,,,,,,|,,,
1986-08-01,,,,,,,,,,,,,|,,,
1986-09-01,0.0055,,,,0.007255353196089079,,,,THD,,,,|Archive,,,
1986-10-01,,,,,,,,,,,,,|,,,
1986-11-01,,,,0.0258,,,,0.0032243300079241267,,,,CGO,|,,,Archive
1986-12-01,,,,,,,,,,,,,|,,,
1987-01-01,,,,,,,,,,,,,|,,,
1987-02-01,,,,,,,,,,,,,|,,,
1987-03-01,,,,,,,,,,,,,|,,,
1987-04-01,,,,,,,,,,,,,|,,,
1987-05-01,,,,0.0247,,,,0.006396586902403499,,,,CGO,|,,,Archive
1987-06-01,,,,,,,,,,,,,|,,,
1987-07-01,,,,,,,,,,,,,|,,,
1987-08-01,,,,,,,,,,,,,|,,,
1987-09-01,,,,,,,,,,,,,|,,,
1987-10-01,,,,,,,,,,,,,|,,,
1987-11-01,,,,,,,,,,,,,|,,,
1987-12-01,,,,,,,,,,,,,|,,,
1988-01-01,,,,,,,,,,,,,|,,,
1988-02-01,,,,,,,,,,,,,|,,,
1988-03-01,,,,,,,,,,,,,|,,,
1988-04-01,,,,,,,,,,,,,|,,,
1988-05-01,,,,,,,,,,,,,|,,,
1988-06-01,,,,0.030899999999999997,,,,0.007652601910461566,,,,CGO,|,,,Archive
1988-07-01,,,,,,,,,,,,,|,,,
1988-08-01,,,,,,,,,,,,,|,,,
1988-09-01,,,,,,,,,,,,,|,,,
1988-10-01,,,,,,,,,,,,,|,,,
1988-11-01,,,,,,,,,,,,,|,,,
1988-12-01,,,,,,,,,,,,,|,,,
1989-01-01,,,,,,,,,,,,,|,,,
1989-02-01,,,,,,,,,,,,,|,,,
1989-03-01,,,,,,,,,,,,,|,,,
1989-04-01,,,,,,,,,,,,,|,,,
1989-05-01,,,,,,,,,,,,,|,,,
1989-06-01,,,,,,,,,,,,,|,,,
1989-07-01,,,,,,,,,,,,,|,,,
1989-08-01,,,,,,,,,,,,,|,,,
1989-09-01,,,,,,,,,,,,,|,,,
1989-10-01,,,,,,,,,,,,,|,,,
1989-11-01,,,,,,,,,,,,,|,,,
1989-12-01,,,,,,,,,,,,,|,,,
1990-01-01,,,,,,,,,,,,,|,,,
1990-02-01,,,,,,,,,,,,,|,,,
1990-03-01,,,,,,,,,,,,,|,,,
1990-04-01,,,,,,,,,,,,,|,,,
1990-05-01,,,,,,,,,,,,,|,,,
1990-06-01,,,,,,,,,,,,,|,,,
1990-07-01,,,,,,,,,,,,,|,,,
1990-08-01,,,,,,,,,,,,,|,,,
1990-09-01,,,,,,,,,,,,,|,,,
1990-10-01,,,,,,,,,,,,,|,,,
1990-11-01,,,,,,,,,,,,,|,,,
1990-12-01,,,,,,,,,,,,,|,,,
1991-01-01,,,,,,,,,,,,,|,,,
1991-02-01,,,,,,,,,,,,,|,,,
1991-03-01,0.0165,,,,0.007035008884145066,,,,THD,,,,|Archive,,,
1991-04-01,,,,,,,,,,,,,|,,,
1991-05-01,,,,,,,,,,,,,|,,,
1991-06-01,,,,,,,,,,,,,|,,,
1991-07-01,,,,,,,,,,,,,|,,,
1991-08-01,,,,0.0404,,,,0.004764008396298226,,,,CGO,|,,,Archive
1991-09-01,,,,,,,,,,,,,|,,,
1991-10-01,,,,,,,,,,,,,|,,,
1991-11-01,,,,,,,,,,,,,|,,,
1991-12-01,,,,,,,,,,,,,|,,,
1992-01-01,,,,,,,,,,,,,|,,,
1992-02-01,,,,,,,,,,,,,|,,,
1992-03-01,,,,0.0359,,,,0.010131126097329952,,,,CGO,|,,,Archive
1992-04-01,,,,,,,,,,,,,|,,,
1992-05-01,,,,,,,,,,,,,|,,,
1992-06-01,,,,,,,,,,,,,|,,,
1992-07-01,,,,,,,,,,,,,|,,,
1992-08-01,,,,,,,,,,,,,|,,,
1992-09-01,,,,0.0303,,,,0.008263481348681075,,,,CGO,|,,,Archive
1992-10-01,,,,,,,,,,,,,|,,,
1992-11-01,,,,,,,,,,,,,|,,,
1992-12-01,,,,,,,,,,,,,|,,,
1993-01-01,,,,,,,,,,,,,|,,,
1993-02-01,,,,,,,,,,,,,|,,,
1993-03-01,,,,0.0348,,,,0.01081016854632711,,,,CGO,|,,,Archive
1993-04-01,,,,,,,,,,,,,|,,,
1993-05-01,,,,,,,,,,,,,|,,,
1993-06-01,,,,,,,,,,,,,|,,,
1993-07-01,,,,,,,,,,,,,|,,,
1993-08-01,,,,,,,,,,,,,|,,,
1993-09-01,,,,,,,,,,,,,|,,,
1993-10-01,,,,,,,,,,,,,|,,,
1993-11-01,,,,,,,,,,,,,|,,,
1993-12-01,,,,,,,,,,,,,|,,,
1994-01-01,,,,,,,,,,,,,|,,,
1994-02-01,,,,0.0359,,,,0.004384029653184385,,,,CGO,|,,,Archive
1994-03-01,,,,,,,,,,,,,|,,,
1994-04-01,,,,0.0337,,,,0.006542819270008915,,,,CGO,|,,,Archive
1994-05-01,,,,,,,,,,,,,|,,,
1994-06-01,,,,,,,,,,,,,|,,,
1994-07-01,,,,,,,,,,,,,|,,,
1994-08-01,,,,,,,,,,,,,|,,,
1994-09-01,,,,,,,,,,,,,|,,,
1994-10-01,,,,0.0359,,,,0.0037841400608328436,,,,CGO,|,,,Archive
1994-11-01,,,,,,,,,,,,,|,,,
1994-12-01,,,,,,,,,,,,,|,,,
1995-01-01,,,,,,,,,,,,,|,,,
1995-02-01,,,,0.0275,,,,0.007364356726829574,,,,CGO,|,,,Archive
1995-03-01,,,,0.0494,,,,0.006765005247595896,,,,CGO,|,,,Archive
1995-04-01,,,,,,,,,,,,,|,,,
1995-05-01,,,,,,,,,,,,,|,,,
1995-06-01,,,,0.0416,,,,0.006967784152799224,,,,CGO,|,,,Archive
1995-07-01,,,,,,,,,,,,,|,,,
1995-08-01,,,,0.0416,,,,0.009388823994516033,,,,CGO,|,,,Archive
1995-09-01,,,,0.036500000000000005,,,,0.0029523041848698453,,,,CGO,|,,,Archive
1995-10-01,,,,,,,,,,,,,|,,,
1995-11-01,,,,0.0145,,,,0.006038058462784208,,,,CGO,|,,,Archive
1995-12-01,,,,0.046,,,,0.0030393420340593456,,,,CGO,|,,,Archive
1996-01-01,,,,,,,,,,,,,|,,,
1996-02-01,,,,,,,,,,,,,|,,,
1996-03-01,,,,,,,,,,,,,|,,,
1996-04-01,0.027,,,,0.007357693252643792,,,,THD,,,,|Archive,,,
1996-05-01,,,,0.046,,,,0.009057461012888767,,,,CGO,|,,,Archive
1996-06-01,,,,,,,,,,,,,|,,,
1996-07-01,,,,,,,,,,,,,|,,,
1996-08-01,,,,0.0494,,,,0.007148796821843519,,,,CGO,|,,,Archive
1996-09-01,,,,,,,,,,,,,|,,,
1996-10-01,,,,0.0528,,,,0.012294560748558689,,,,CGO,|,,,Archive
1996-11-01,,,,0.046,,,,0.005791165685766554,,,,CGO,|,,,Archive
1996-12-01,,,,,,,,,,,,,|,,,
1997-01-01,,,,0.051300000000000005,,,,0.0063573820258202365,,,,CGO,|,,,Archive
1997-02-01,,,,,,,,,,,,,|,,,
1997-03-01,,,,0.055,,,,0.011920989891783314,,,,CGO,|,,,Archive
1997-04-01,,,,0.0528,,,,0.008007260705135058,,,,CGO,|,,,Archive
1997-05-01,,,,0.0562,,,,0.005530857438047016,,,,CGO,|,,,Archive
1997-06-01,,,,,,,,,,,,,|,,,
1997-07-01,,,,0.0629,,,,0.007398856398119914,,,,CGO,|,,,Archive
1997-08-01,,,,,,,,,,,,,|,,,
1997-09-01,,,,,,,,,,,,,|,,,
1997-10-01,,,,,,,,,,,,,|,,,
1997-11-01,,,,,,,,,,,,,|,,,
1997-12-01,,,,,,,,,,,,,|,,,
1998-01-01,0.073,,,,0.005810714241812275,,,,THD,,,,|Archive,,,
1998-02-01,,,,,,,,,,,,,|,,,
1998-03-01,,,,,,,,,,,,,|,,,
1998-04-01,,,,0.0629,,,,0.010859239199870311,,,,CGO,|,,,Archive
1998-05-01,,,,,,,,,,,,,|,,,
1998-06-01,0.091,,,0.0708,0.0167538532881245,,,0.007651503381689117,THD,,,CGO,|Archive,,,Archive
1998-07-01,,,,,,,,,,,,,|,,,
1998-08-01,,,,,,,,,,,,,|,,,
1998-09-01,,,,,,,,,,,,,|,,,
1998-10-01,,,,0.0741,,,,0.01072319523276528,,,,CGO,|,,,Archive
1998-11-01,,,,,,,,,,,,,|,,,
1998-12-01,,,,,,,,,,,,,|,,,
1999-01-01,,,,,,,,,,,,,|,,,
1999-02-01,,,,0.0921,,,,0.02715541706547701,,,,CGO,|,,,Archive
1999-03-01,,,,,,,,,,,,,|,,,
1999-04-01,0.096025,,,0.0764,0.008930628883231014,,,0.010145592934865857,THD,,,CGO,|Archive,,,Archive
1999-05-01,,,,,,,,,,,,,|,,,
1999-06-01,,,,,,,,,,,,,|,,,
1999-07-01,,,,,,,,,,,,,|,,,
1999-08-01,,,,0.0876,,,,0.009505026880551154,,,,CGO,|,,,Archive
1999-09-01,,,,,,,,,,,,,|,,,
1999-10-01,,,,,,,,,,,,,|,,,
1999-11-01,,,,0.0887,,,,0.00907764749260512,,,,CGO,|,,,Archive
1999-12-01,,,,,,,,,,,,,|,,,
2000-01-01,,,,,,,,,,,,,|,,,
2000-02-01,,,,,,,,,,,,,|,,,
2000-03-01,,,,0.0943,,,,0.009618365973490507,,,,CGO,|,,,Archive
2000-04-01,0.1129,,,,0.007641143631682367,,,,THD,,,,|Archive,,,
2000-05-01,,,,,,,,,,,,,|,,,
2000-06-01,,,,,,,,,,,,,|,,,
