# AGAGE data for HFC-152a
# Created by lw13938 on 2024-05-29 14:28:32.732274
# Contact AGAGE data owners before use 
# This file contains data from the following sites/instruments: 
#===================================================
# MHD 
#   1. Medusa
#   2. ADS
#  Instruments averaged
#------------------
# THD 
#   1. Medusa
#   3. Archive
#  Instruments averaged
#------------------
# RPB 
#   1. Medusa
#------------------
# SMO 
#   1. Medusa
#------------------
# CGO 
#   1. Medusa
#   2. ADS
#   3. Archive
#  Instruments averaged
#------------------
# SCALE: SIO-05
# UNITS: ppt
var,mf,mf,mf,mf,mf_variability,mf_variability,mf_variability,mf_variability,sites,sites,sites,sites,instruments,instruments,instruments,instruments
box,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
1973-06-01,0.0,,,,0.060811183182043094,,,,THD,,,,||Archive,,,
1973-07-01,,,,,,,,,,,,,||,,,
1973-08-01,,,,,,,,,,,,,||,,,
1973-09-01,,,,,,,,,,,,,||,,,
1973-10-01,0.0,,,,0.06081118318204307,,,,THD,,,,||Archive,,,
1973-11-01,,,,,,,,,,,,,||,,,
1973-12-01,,,,,,,,,,,,,||,,,
1974-01-01,,,,,,,,,,,,,||,,,
1974-02-01,,,,,,,,,,,,,||,,,
1974-03-01,,,,,,,,,,,,,||,,,
1974-04-01,0.0,,,,0.06081118318204308,,,,THD,,,,||Archive,,,
1974-05-01,,,,,,,,,,,,,||,,,
1974-06-01,0.0,,,,0.06081118318204307,,,,THD,,,,||Archive,,,
1974-07-01,,,,,,,,,,,,,||,,,
1974-08-01,,,,,,,,,,,,,||,,,
1974-09-01,,,,,,,,,,,,,||,,,
1974-10-01,,,,,,,,,,,,,||,,,
1974-11-01,,,,,,,,,,,,,||,,,
1974-12-01,,,,,,,,,,,,,||,,,
1975-01-01,,,,,,,,,,,,,||,,,
1975-02-01,,,,,,,,,,,,,||,,,
1975-03-01,,,,,,,,,,,,,||,,,
1975-04-01,,,,,,,,,,,,,||,,,
1975-05-01,,,,,,,,,,,,,||,,,
1975-06-01,0.0,,,,0.06081118318204308,,,,THD,,,,||Archive,,,
1975-07-01,,,,,,,,,,,,,||,,,
1975-08-01,,,,,,,,,,,,,||,,,
1975-09-01,,,,,,,,,,,,,||,,,
1975-10-01,0.12093333333333334,,,,0.04185845532867165,,,,THD,,,,||Archive,,,
1975-11-01,,,,,,,,,,,,,||,,,
1975-12-01,,,,,,,,,,,,,||,,,
1976-01-01,,,,,,,,,,,,,||,,,
1976-02-01,,,,,,,,,,,,,||,,,
1976-03-01,,,,,,,,,,,,,||,,,
1976-04-01,,,,,,,,,,,,,||,,,
1976-05-01,,,,,,,,,,,,,||,,,
1976-06-01,,,,,,,,,,,,,||,,,
1976-07-01,,,,,,,,,,,,,||,,,
1976-08-01,,,,,,,,,,,,,||,,,
1976-09-01,,,,,,,,,,,,,||,,,
1976-10-01,,,,,,,,,,,,,||,,,
1976-11-01,,,,,,,,,,,,,||,,,
1976-12-01,,,,,,,,,,,,,||,,,
1977-01-01,,,,,,,,,,,,,||,,,
1977-02-01,,,,,,,,,,,,,||,,,
1977-03-01,,,,,,,,,,,,,||,,,
1977-04-01,,,,,,,,,,,,,||,,,
1977-05-01,,,,,,,,,,,,,||,,,
1977-06-01,,,,,,,,,,,,,||,,,
1977-07-01,,,,,,,,,,,,,||,,,
1977-08-01,,,,,,,,,,,,,||,,,
1977-09-01,,,,,,,,,,,,,||,,,
1977-10-01,0.0,,,,0.06081118318204307,,,,THD,,,,||Archive,,,
1977-11-01,,,,,,,,,,,,,||,,,
1977-12-01,,,,,,,,,,,,,||,,,
1978-01-01,,,,,,,,,,,,,||,,,
1978-02-01,,,,,,,,,,,,,||,,,
1978-03-01,,,,,,,,,,,,,||,,,
1978-04-01,,,,0.1177,,,,0.023359402610931643,,,,CGO,||,,,||Archive
1978-05-01,,,,,,,,,,,,,||,,,||
1978-06-01,,,,,,,,,,,,,||,,,||
1978-07-01,,,,0.12969999999999998,,,,0.010222651263326945,,,,CGO,||,,,||Archive
1978-08-01,0.06583333333333334,,,0.3337,0.03561588960351826,,,0.017341698270803816,THD,,,CGO,||Archive,,,||Archive
1978-09-01,,,,,,,,,,,,,||,,,||
1978-10-01,,,,,,,,,,,,,||,,,||
1978-11-01,,,,,,,,,,,,,||,,,||
1978-12-01,,,,,,,,,,,,,||,,,||
1979-01-01,,,,,,,,,,,,,||,,,||
1979-02-01,,,,0.12154999999999999,,,,0.008241917000558789,,,,CGO,||,,,||Archive
1979-03-01,,,,,,,,,,,,,||,,,||
1979-04-01,,,,,,,,,,,,,||,,,||
1979-05-01,,,,,,,,,,,,,||,,,||
1979-06-01,,,,,,,,,,,,,||,,,||
1979-07-01,,,,,,,,,,,,,||,,,||
1979-08-01,,,,,,,,,,,,,||,,,||
1979-09-01,,,,,,,,,,,,,||,,,||
1979-10-01,,,,,,,,,,,,,||,,,||
1979-11-01,,,,,,,,,,,,,||,,,||
1979-12-01,,,,,,,,,,,,,||,,,||
1980-01-01,0.0,,,,0.060811183182043094,,,,THD,,,,||Archive,,,||
1980-02-01,,,,,,,,,,,,,||,,,||
1980-03-01,,,,,,,,,,,,,||,,,||
1980-04-01,,,,,,,,,,,,,||,,,||
1980-05-01,0.12378,,,,0.04361283595955686,,,,THD,,,,||Archive,,,||
1980-06-01,,,,,,,,,,,,,||,,,||
1980-07-01,,,,,,,,,,,,,||,,,||
1980-08-01,,,,,,,,,,,,,||,,,||
1980-09-01,,,,,,,,,,,,,||,,,||
1980-10-01,,,,,,,,,,,,,||,,,||
1980-11-01,,,,,,,,,,,,,||,,,||
1980-12-01,,,,,,,,,,,,,||,,,||
1981-01-01,,,,,,,,,,,,,||,,,||
1981-02-01,,,,,,,,,,,,,||,,,||
1981-03-01,,,,,,,,,,,,,||,,,||
1981-04-01,,,,,,,,,,,,,||,,,||
1981-05-01,,,,0.1475,,,,0.04220759931872459,,,,CGO,||,,,||Archive
1981-06-01,,,,,,,,,,,,,||,,,||
1981-07-01,,,,,,,,,,,,,||,,,||
1981-08-01,,,,,,,,,,,,,||,,,||
1981-09-01,,,,,,,,,,,,,||,,,||
1981-10-01,,,,,,,,,,,,,||,,,||
1981-11-01,,,,,,,,,,,,,||,,,||
1981-12-01,,,,,,,,,,,,,||,,,||
1982-01-01,,,,,,,,,,,,,||,,,||
1982-02-01,,,,,,,,,,,,,||,,,||
1982-03-01,0.0,,,,0.06081118318204308,,,,THD,,,,||Archive,,,||
1982-04-01,,,,,,,,,,,,,||,,,||
1982-05-01,0.0,,,,0.06081118318204308,,,,THD,,,,||Archive,,,||
1982-06-01,0.0,,,,0.060811183182043094,,,,THD,,,,||Archive,,,||
1982-07-01,,,,,,,,,,,,,||,,,||
1982-08-01,,,,,,,,,,,,,||,,,||
1982-09-01,,,,,,,,,,,,,||,,,||
1982-10-01,0.006666666666666667,,,,0.0538818647041841,,,,THD,,,,||Archive,,,||
1982-11-01,,,,,,,,,,,,,||,,,||
1982-12-01,,,,,,,,,,,,,||,,,||
1983-01-01,,,,,,,,,,,,,||,,,||
1983-02-01,0.444,,,,0.034853556958221635,,,,THD,,,,||Archive,,,||
1983-03-01,,,,,,,,,,,,,||,,,||
1983-04-01,,,,,,,,,,,,,||,,,||
1983-05-01,,,,,,,,,,,,,||,,,||
1983-06-01,,,,,,,,,,,,,||,,,||
1983-07-01,,,,,,,,,,,,,||,,,||
1983-08-01,,,,,,,,,,,,,||,,,||
1983-09-01,0.325,,,,0.01781227736702974,,,,THD,,,,||Archive,,,||
1983-10-01,,,,,,,,,,,,,||,,,||
1983-11-01,,,,,,,,,,,,,||,,,||
1983-12-01,,,,,,,,,,,,,||,,,||
1984-01-01,,,,0.1708,,,,0.011520384118318279,,,,CGO,||,,,||Archive
1984-02-01,,,,,,,,,,,,,||,,,||
1984-03-01,,,,,,,,,,,,,||,,,||
1984-04-01,,,,,,,,,,,,,||,,,||
1984-05-01,,,,0.17595,,,,0.01032179054254154,,,,CGO,||,,,||Archive
1984-06-01,,,,,,,,,,,,,||,,,||
1984-07-01,,,,,,,,,,,,,||,,,||
1984-08-01,,,,,,,,,,,,,||,,,||
1984-09-01,,,,,,,,,,,,,||,,,||
1984-10-01,,,,,,,,,,,,,||,,,||
1984-11-01,,,,,,,,,,,,,||,,,||
1984-12-01,,,,,,,,,,,,,||,,,||
1985-01-01,,,,,,,,,,,,,||,,,||
1985-02-01,,,,,,,,,,,,,||,,,||
1985-03-01,,,,,,,,,,,,,||,,,||
1985-04-01,,,,,,,,,,,,,||,,,||
1985-05-01,,,,,,,,,,,,,||,,,||
1985-06-01,,,,,,,,,,,,,||,,,||
1985-07-01,,,,,,,,,,,,,||,,,||
1985-08-01,,,,,,,,,,,,,||,,,||
1985-09-01,,,,,,,,,,,,,||,,,||
1985-10-01,,,,,,,,,,,,,||,,,||
1985-11-01,,,,,,,,,,,,,||,,,||
1985-12-01,,,,,,,,,,,,,||,,,||
1986-01-01,,,,,,,,,,,,,||,,,||
1986-02-01,,,,0.17223333333333335,,,,0.023327218942884916,,,,CGO,||,,,||Archive
1986-03-01,,,,,,,,,,,,,||,,,||
1986-04-01,,,,,,,,,,,,,||,,,||
1986-05-01,,,,,,,,,,,,,||,,,||
1986-06-01,,,,,,,,,,,,,||,,,||
1986-07-01,,,,,,,,,,,,,||,,,||
1986-08-01,,,,,,,,,,,,,||,,,||
1986-09-01,0.0,,,,0.06081118318204308,,,,THD,,,,||Archive,,,||
1986-10-01,,,,,,,,,,,,,||,,,||
1986-11-01,,,,0.2128,,,,0.02464206811372779,,,,CGO,||,,,||Archive
1986-12-01,,,,,,,,,,,,,||,,,||
1987-01-01,,,,,,,,,,,,,||,,,||
1987-02-01,,,,,,,,,,,,,||,,,||
1987-03-01,,,,,,,,,,,,,||,,,||
1987-04-01,,,,,,,,,,,,,||,,,||
1987-05-01,,,,0.19225,,,,0.014553251186676467,,,,CGO,||,,,||Archive
1987-06-01,,,,,,,,,,,,,||,,,||
1987-07-01,,,,,,,,,,,,,||,,,||
1987-08-01,,,,,,,,,,,,,||,,,||
1987-09-01,,,,,,,,,,,,,||,,,||
1987-10-01,,,,,,,,,,,,,||,,,||
1987-11-01,,,,,,,,,,,,,||,,,||
1987-12-01,,,,,,,,,,,,,||,,,||
1988-01-01,,,,,,,,,,,,,||,,,||
1988-02-01,,,,,,,,,,,,,||,,,||
1988-03-01,,,,,,,,,,,,,||,,,||
1988-04-01,,,,,,,,,,,,,||,,,||
1988-05-01,,,,,,,,,,,,,||,,,||
1988-06-01,,,,0.17389999999999997,,,,0.01075288684009813,,,,CGO,||,,,||Archive
1988-07-01,,,,,,,,,,,,,||,,,||
